986943,1,4.32
986944,2,4.32
986945,3,4.326
986946,4,4.314
986947,5,4.32
986948,6,4.32
986949,7,4.32
986950,8,4.324
986951,9,4.316
986952,10,4.324
986953,11,4.318
986954,12,4.324
986955,13,4.32
986956,14,4.316
986957,15,4.326
986958,16,4.312
986959,17,4.33
986960,18,4.31
986961,19,4.32
986962,20,4.32
986963,21,4.326
986963,22,4.326
986964,23,4.322
986965,24,4.312
986966,25,8.64
986967,26,4.32
986968,27,4.32
986969,28,4.329
986970,29,4.317
986970,30,4.317
986971,31,8.634
986972,32,4.328
986972,33,4.328
986973,34,4.314
986973,35,4.314
986974,36,4.323
986975,37,4.317
986975,38,4.317
986976,39,4.318
986977,40,4.32
986978,41,4.32
986979,42,4.32
986980,43,4.327
986980,44,4.327
986981,45,4.313
986982,46,4.324
986983,47,4.316
986984,48,4.322
986985,49,12.96
986986,50,4.324
986987,51,4.32
986988,52,4.32
986989,53,8.634
986990,54,8.64
986991,55,4.32
986992,56,4.329
986993,57,4.313
986994,58,4.326
986995,59,4.315
986996,60,4.317
986997,61,4.32
986998,62,4.324
986999,63,4.316
987000,64,4.32
