14,1,4.318
15,2,4.318
16,3,4.324
17,4,8.639
18,5,4.323
19,6,4.314
20,7,4.322
21,8,4.318
22,9,4.334
22,10,4.334
23,11,4.31
24,12,4.318
25,13,4.328
26,14,4.311
27,15,4.325
28,16,4.327
29,17,4.31
30,18,8.641
31,19,8.649
32,20,4.31
33,21,4.319
34,22,4.323
35,23,4.319
36,24,4.33
37,25,4.307
38,26,4.322
39,27,4.329
40,28,4.312
41,29,4.32
42,30,4.321
43,31,4.324
44,32,8.643
45,33,4.313
45,34,4.313
46,35,4.315
47,36,4.333
48,37,4.308
49,38,4.33
50,39,8.633
51,40,4.319
52,41,4.319
53,42,4.322
54,43,8.64
55,44,4.32
56,45,4.328
57,46,4.318
58,47,4.314
59,48,4.317
60,49,4.318
61,50,4.323
61,51,4.323
62,52,4.318
63,53,8.644
