27,1,2.999
28,2,3.003
29,3,2.999
30,4,2.999
31,5,2.999
32,6,3.004
33,7,2.997
34,8,3.003
35,9,2.997
36,10,3.001
37,11,2.999
38,12,3.001
39,13,3.002
40,14,2.998
41,15,2.999
42,16,2.999
43,17,3.002
43,18,3.002
44,19,3.003
45,20,2.996
46,21,3
47,22,2.999
48,23,3.001
49,24,2.999
49,25,2.999
50,26,3.002
51,27,2.999
52,28,2.999
53,29,3.001
54,30,3
55,31,3
56,32,2.999
57,33,3
58,34,3.002
59,35,3.002
60,36,3
61,37,2.998
62,38,3.002
63,39,2.999
64,40,2.997
65,41,3
66,42,3.001
67,43,3.005
68,44,2.996
69,45,2.998
70,46,3.002
71,47,2.998
72,48,3
73,49,3.002
74,50,3.002
75,51,2.996
76,52,3.003
77,53,3
78,54,2.997
79,55,3.005
80,56,2.995
81,57,2.999
82,58,3.001
83,59,3.003
84,60,3
85,61,3.001
86,62,2.998
87,63,3.002
88,64,2.996
89,65,3.004
90,66,2.997
91,67,3.002
92,68,3.002
93,69,2.999
94,70,2.997
95,71,3.001
96,72,3.001
97,73,3.001
98,74,3
99,75,2.997
100,76,3.003
101,77,3
102,78,2.997
103,79,3.003
104,80,3
105,81,3.001
106,82,2.999
107,83,3
108,84,2.995
109,85,3.003
110,86,3.002
